Lifecycle,Datacenter,AonFunction,AonZone display name,AonZone value,Reservation policy name
PR,CAR,,DMZ,D,EXTERNAL
QC,CAR,,DMZ,D,EXTERNAL
PR,CAR,,non-DMZ,N,INTERNAL
QC,CAR,,non-DMZ,N,INTERNAL
DM,STR,,non-DMZ,N,INTERNAL
DV,STR,,non-DMZ,N,INTERNAL
LB,STR,,non-DMZ,N,INTERNAL
QA,STR,,non-DMZ,N,INTERNAL
ST,STR,,non-DMZ,N,INTERNAL
DR,STR,,non-DMZ,N,INTERNAL
TR,STR,,non-DMZ,N,INTERNAL
PR,STR,,non-DMZ,N,INFRASTRUCTURE
QC,STR,,non-DMZ,N,INFRASTRUCTURE
DM,CAR,,non-DMZ,N,INTERNAL
DV,CAR,,non-DMZ,N,INTERNAL
LB,CAR,,non-DMZ,N,INTERNAL
QA,CAR,,non-DMZ,N,INTERNAL
ST,CAR,,non-DMZ,N,INTERNAL
DR,CAR,,non-DMZ,N,INTERNAL
TR,CAR,,non-DMZ,N,INTERNAL
PR,CAR,DBS,non-DMZ,N,MSSQL
QC,CAR,DBS,non-DMZ,N,MSSQL
DM,CAR,DBS,non-DMZ,N,MSSQL
DV,CAR,DBS,non-DMZ,N,MSSQL
LB,CAR,DBS,non-DMZ,N,MSSQL
QA,CAR,DBS,non-DMZ,N,MSSQL
ST,CAR,DBS,non-DMZ,N,MSSQL
DR,CAR,DBS,non-DMZ,N,MSSQL
TR,CAR,DBS,non-DMZ,N,MSSQL
PR,STR,DBS,non-DMZ,N,MSSQL
QC,STR,DBS,non-DMZ,N,MSSQL
DM,STR,DBS,non-DMZ,N,MSSQL
DV,STR,DBS,non-DMZ,N,MSSQL
LB,STR,DBS,non-DMZ,N,MSSQL
QA,STR,DBS,non-DMZ,N,MSSQL
ST,STR,DBS,non-DMZ,N,MSSQL
DR,STR,DBS,non-DMZ,N,MSSQL
TR,STR,DBS,non-DMZ,N,MSSQL
PR,CAR,DBO,non-DMZ,N,ORACLE
QC,CAR,DBO,non-DMZ,N,ORACLE
DM,CAR,DBO,non-DMZ,N,ORACLE
DV,CAR,DBO,non-DMZ,N,ORACLE
LB,CAR,DBO,non-DMZ,N,ORACLE
QA,CAR,DBO,non-DMZ,N,ORACLE
ST,CAR,DBO,non-DMZ,N,ORACLE
DR,CAR,DBO,non-DMZ,N,ORACLE
TR,CAR,DBO,non-DMZ,N,ORACLE
PR,STR,DBO,non-DMZ,N,ORACLE
QC,STR,DBO,non-DMZ,N,ORACLE
DM,STR,DBO,non-DMZ,N,ORACLE
DV,STR,DBO,non-DMZ,N,ORACLE
LB,STR,DBO,non-DMZ,N,ORACLE
QA,STR,DBO,non-DMZ,N,ORACLE
ST,STR,DBO,non-DMZ,N,ORACLE
DR,STR,DBO,non-DMZ,N,ORACLE
TR,STR,DBO,non-DMZ,N,ORACLE
